Kategori,Fråga,Rätt svar,Fel svar 1,Fel svar 2,Fel svar 3,
80tal,Vilket år hade The Goonies premiär?,1985,1984,1986,1983,
80tal,Vilket år började MacGyver sändas?,1985,1984,1986,1983,
80tal,Vilket år började Moonlighting sändas?,1985,1984,1986,1983,
80tal,Vilket år började Growing Pains sändas?,1985,1984,1986,1983,
80tal,Vilket år vann Alain Prost sin första VM-titel i F1?,1985,1984,1986,1983,
80tal,Vilket år hade Weird Science premiär?,1985,1984,1986,1983,
80tal,Vilket år hade Real Genius premiär?,1985,1984,1986,1983,
80tal,Vilket år träffades Reagan och Gorbatjov första gången?,1985,1984,1986,1983,
80tal,Vilket år dog Konstantin Tjernenko?,1985,1984,1986,1983,
80tal,Vilket år blev Michail Gorbatjov sovjetledare?,1985,1984,1986,1983,
80tal,Vilket år kapades Achille Lauro?,1985,1984,1986,1983,
80tal,Vilket år exploderade Air India Flight 182?,1985,1984,1986,1983,
80tal,Vilket år grundades Hizbollah?,1985,1982,1983,1984,
80tal,Vilket år hade Ferris Bueller's Day Off premiär?,1986,1985,1987,1984,
80tal,Vilket år hade Platoon premiär?,1986,1985,1987,1984,
80tal,"Vilket år gjorde Diego Maradona ""Guds hand""?",1986,1985,1987,1984,
80tal,Vilket år dog Olof Palme?,1986,1985,1987,1984,
80tal,Vilket år inträffade Tjernobylolyckan?,1986,1985,1987,1984,
80tal,Vilket år exploderade rymdfärjan Challenger?,1986,1985,1987,1984,
80tal,Vilket år började Perfect Strangers sändas?,1986,1985,1987,1984,
80tal,Vilket år började L.A. Law sändas?,1986,1985,1987,1984,
80tal,Vilket år hade Short Circuit premiär?,1986,1985,1987,1984,
80tal,Vilket år hade Three Amigos premiär?,1986,1985,1987,1984,
80tal,Vilket år bombade USA Libyen?,1986,1985,1987,1984,
80tal,Vilket år infördes sanktioner mot Sydafrika?,1986,1985,1987,1984,
80tal,Vilket år inträffade Tjernobylolyckan?,1986,1985,1987,1984,
80tal,Vilket år exploderade rymdfärjan Challenger?,1986,1985,1987,1984,
80tal,Vilket år bombades La Belle-diskoteket i Berlin?,1986,1985,1987,1984,
80tal,"Vilket år släppte U2 albumet ""The Joshua Tree""?",1987,1986,1988,1985,
80tal,Vilket år hade The Princess Bride premiär?,1987,1986,1988,1985,
80tal,Vilket år vann Sverige ishockey-VM för första gången?,1987,1986,1988,1985,
80tal,Vilket år lanserades MTV Europe?,1987,1986,1988,1985,
80tal,Vilket år dog Andy Warhol?,1987,1986,1988,1985,
80tal,Vilket år började Full House sändas?,1987,1986,1988,1985,
80tal,Vilket år började Married... with Children sändas?,1987,1986,1988,1985,
80tal,Vilket år började 21 Jump Street sändas?,1987,1986,1988,1985,
80tal,Vilket år började thirtysomething sändas?,1987,1986,1988,1985,
80tal,Vilket år satte Carl Lewis världsrekord i längdhopp?,1987,1986,1988,1985,
80tal,Vilket år hade Spaceballs premiär?,1987,1986,1988,1985,
80tal,Vilket år undertecknades INF-avtalet?,1987,1986,1988,1985,
80tal,Vilket år började Intifadan?,1987,1986,1988,1985,
80tal,Vilket år grundades Hamas?,1987,1985,1988,1986,
80tal,Vilket år dog Andy Gibb?,1988,1987,1989,1986,
80tal,Vilket år hade Die Hard premiär?,1988,1987,1989,1986,
80tal,Vilket år hade Coming to America premiär?,1988,1987,1989,1986,
80tal,Vilket OS hölls i Calgary?,1988,1984,1980,1992,
80tal,Vilket år slutade Iran-Irak-kriget?,1988,1987,1989,1986,
80tal,Vilket år inträffade Lockerbie-bombningen?,1988,1987,1989,1986,
80tal,Vilket år började Roseanne sändas?,1988,1987,1989,1986,
80tal,Vilket år började China Beach sändas?,1988,1987,1989,1986,
80tal,Vilket år flyttade Wayne Gretzky till Los Angeles Kings?,1988,1987,1989,1986,
80tal,Vilket år vann Sovjetunionen OS-guld i ishockey sista gången?,1988,1984,1980,1976,
80tal,Vilket år hade Coming to America premiär?,1988,1987,1989,1986,
80tal,Vilket år hade A Fish Called Wanda premiär?,1988,1987,1989,1986,
80tal,Vilket år började Sovjetunionen dra sig ur Afghanistan?,1988,1987,1989,1986,
80tal,Vilket år slutade Iran-Irak-kriget?,1988,1987,1989,1986,
80tal,Vilket år attackerades Halabja med giftgas?,1988,1987,1989,1986,
80tal,Vilket år hände Lockerbie-bombningen?,1988,1987,1989,1986,
80tal,Vilket år hade Do the Right Thing premiär?,1989,1988,1987,1990,
80tal,Vilket år föll Berlinmuren?,1989,1988,1987,1990,
80tal,Vilket år lanserades Game Boy?,1989,1988,1987,1990,
80tal,Vilket år började Berlinmurens fall?,1989,1988,1987,1990,
80tal,Vilket år föll kommunistregimen i Polen?,1989,1988,1987,1990,
80tal,Vilket år föll kommunistregimen i Ungern?,1989,1988,1987,1990,
80tal,Vilket år föll kommunistregimen i Tjeckoslovakien?,1989,1988,1987,1990,
80tal,Vilket år föll Nicolae Ceaușescu i Rumänien?,1989,1988,1987,1990,
80tal,Vilket år föll kommunistregimen i Bulgarien?,1989,1988,1987,1990,
80tal,Vilket år öppnades gränsen mellan Österrike och Ungern?,1989,1988,1987,1990,
80tal,Vilket år inträffade Tiananmen-massakern?,1989,1988,1987,1990,
80tal,Vilket år dog kejsar Hirohito?,1989,1988,1987,1990,
80tal,Vilket år dog Ayatollah Khomeini?,1989,1988,1987,1990,
80tal,Vilket år drog sig Sovjetunionen ur Afghanistan?,1989,1988,1987,1990,
80tal,Vilket år inträffade Exxon Valdez-olyckan?,1989,1988,1987,1990,
80tal,Vilket år frigavs Nelson Mandela?,1990,1989,1988,1991,
80tal,Vilket år reunifierades Tyskland?,1990,1989,1988,1991,
80tal,"Vem sa ""What'chu talkin' 'bout"," Willis?""?",Arnold Jackson,Webster,Punky Brewster,ALF
80tal,Vad hette den första CD-skivan som släpptes 1982?,52nd Street,Thriller,The Visitors,Born in the U.S.A.,
80tal,Vem ledde mujahidinerna i Afghanistan?,Ahmad Shah Massoud,Gulbuddin Hekmatyar,Abdul Rahim Wardak,Burhanuddin Rabbani,
80tal,Vem blev Japans nya kejsare 1989?,Akihito,Naruhito,Hirohito,Meiji,
80tal,Vem spelade Tony Montana i Scarface?,Al Pacino,Robert De Niro,Joe Pesci,James Caan,
80tal,Vem spelade Hawkeye Pierce i M*A*S*H?,Alan Alda,Wayne Rogers,McLean Stevenson,Gary Burghoff,
80tal,Var inträffade Exxon Valdez-olyckan?,Alaska,Texas,Louisiana,Kalifornien,
80tal,Vad kallades Saddam Husseins gasattacker mot kurder?,Anfal-kampanjen,Giftgasmassaker,Halabja-attacken,Kurdiska folkmordet,
80tal,Vad hette den sydafrikanska apartheidpolitiken?,Apartheid,Segregation,Bantustans,Homelands,
80tal,Vad hette diamanterna som stjäls i A Fish Called Wanda?,Archie's diamonds,Wanda's gems,Otto's rocks,Ken's stones,
80tal,Vem vann fotbolls-VM 1986 i Mexiko?,Argentina,Västtyskland,Brasilien,Frankrike,
80tal,Vad hette Eddie Murphys karaktär i Beverly Hills Cop?,Axel Foley,Billy Rosewood,John Taggart,Jeffrey Friedman,
80tal,Vem ledde Iran under kriget mot Irak?,Ayatollah Khomeini,Mohammad Reza Pahlavi,Ali Khamenei,Akbar Hashemi Rafsanjani,
80tal,Vem var Afghanistans sovjetstödda ledare?,Babrak Karmal,Hafizullah Amin,Nur Muhammad Taraki,Mohammad Najibullah,
80tal,Vad hette den svenska serien om Bellman?,Bellman Forever,Fredmans epistel,Bellmansro,Ulla Winblad,
80tal,Vad hette filmen där Tom Hanks spelade en stor pojke?,Big,Small,Tall,Young,
80tal,Vem vann herrsingeln i tennis på Wimbledon 1980?,Björn Borg,John McEnroe,Jimmy Connors,Ivan Lendl,
80tal,Vem spelade Danny Tanner i Full House?,Bob Saget,John Stamos,Dave Coulier,Scott Weinger,
80tal,"Vem sjöng ""Blue Velvet""?",Bobby Vinton,Tony Bennett,Dean Martin,Frank Sinatra,
80tal,"Vilket band sjöng ""Livin' on a Prayer""?",Bon Jovi,Def Leppard,Van Halen,Whitesnake,
80tal,"Vem sjöng ""Total Eclipse of the Heart""?",Bonnie Tyler,Pat Benatar,Cyndi Lauper,Tina Turner,
80tal,Vad hette serien med Tom Hanks?,Bosom Buddies,Happy Days,Laverne & Shirley,Three's Company,
80tal,Vad hette Natalie Woods sista film?,Brainstorm,West Side Story,Rebel Without a Cause,Splendor in the Grass,
80tal,Vem spelade Balki Bartokomous?,Bronson Pinchot,Mark Linn-Baker,Sam Anderson,Ernie Sabella,
80tal,Vem spelade mot Cybill Shepherd i Moonlighting?,Bruce Willis,Tom Selleck,Don Johnson,Richard Dean Anderson,
80tal,Vad hette Talking Heads hit från 1984?,Burning Down the House,Once in a Lifetime,Psycho Killer,Take Me to the River,
80tal,Vad hette Caramel Dansen ursprungligen?,Caramelldansen,Caramel Dance,Sweet Dance,Candy Dance,
80tal,Vad hette George Michaels första solohit?,Careless Whisper,Faith,Father Figure,I Want Your Sex,
80tal,Vad hette familjen i Dynasty?,Carrington,Colby,Ewing,Forrester,
80tal,Vad hette läraren som dog i Challenger-olyckan?,Christa McAuliffe,Sally Ride,Mae Jemison,Judith Resnik,
80tal,Vad hette Molly Ringwalds karaktär i The Breakfast Club?,Claire Standish,Samantha Baker,Andie Walsh,Jeanie Bueller,
80tal,Vad hette Arnold Schwarzeneggers karaktär i Conan the Barbarian?,Conan,Thulsa Doom,Subotai,Valeria,
80tal,"Vem sjöng ""Karma Chameleon""?",Culture Club,Duran Duran,Spandau Ballet,Wham!,
80tal,"Vem sjöng ""Girls Just Want to Have Fun""?",Cyndi Lauper,Madonna,Pat Benatar,Blondie,
80tal,"Vem hade hit med ""Time After Time""?",Cyndi Lauper,Madonna,Pat Benatar,Blondie,
80tal,Vem spelade Colleen McMurphy i China Beach?,Dana Delany,Marg Helgenberger,Nancy Giles,Concetta Tomei,
80tal,Vad hette huvudkaraktären i Karate Kid?,Daniel LaRusso,Johnny Lawrence,Mr. Miyagi,Ali Mills,
80tal,Vad hände med Ceaușescu och hans hustru?,De avrättades,De flydde,De fängslades,De abdikerade,
80tal,"Vilket band sjöng ""Pour Some Sugar on Me""?",Def Leppard,Bon Jovi,Van Halen,Whitesnake,
80tal,"Vilket band sjöng ""Love Bites""?",Def Leppard,Bon Jovi,Whitesnake,Van Halen,
80tal,Vem var Kinas ledare under Tiananmen-protesten?,Deng Xiaoping,Mao Zedong,Li Peng,Zhao Ziyang,
80tal,"Vad hette filmen med ""Nobody puts Baby in a corner""?",Dirty Dancing,Flashdance,Footloose,Fame,
80tal,"Vem hade hit med ""9 to 5""?",Dolly Parton,Bonnie Tyler,Tina Turner,Pat Benatar,
80tal,Vad hette Simple Minds hit från 1985?,Don't You (Forget About Me),Alive and Kicking,Sanctify Yourself,All the Things She Said,
80tal,Vad hette serien om tvillingsystrar?,Double Trouble,Sister Sister,The Patty Duke Show,My Two Dads,
80tal,"Vem sjöng ""Girls on Film""?",Duran Duran,Spandau Ballet,Human League,Depeche Mode,
80tal,Vem spelade Dorothy Michaels i Tootsie?,Dustin Hoffman,Robin Williams,Jack Lemmon,Walter Matthau,
80tal,Vad hette det kalla krigets slutskede?,Détente,Glasnost,Perestrojka,New Thinking,
80tal,Vem spelade Al Bundy?,Ed O'Neill,David Faustino,Amanda Bearse,Katey Sagal,
80tal,Vem spelade Axel Foley i Beverly Hills Cop?,Eddie Murphy,Richard Pryor,Bill Murray,Dan Aykroyd,
80tal,Vem spelade Prince Akeem i Coming to America?,Eddie Murphy,Arsenio Hall,James Earl Jones,John Amos,
80tal,Vem var Östtysklands ledare under 80-talet?,Erich Honecker,Walter Ulbricht,Egon Krenz,Willi Stoph,
80tal,"Vilket svenskt band hade hit med ""The Final Countdown""?",Europe,Roxette,ABBA,Army of Lovers,
80tal,Vad hette Tears for Fears hit från 1985?,Everybody Wants to Rule the World,Shout,Mad World,Head Over Heels,
80tal,Vem spelade huvudrollen i filmen Amadeus?,F. Murray Abraham,Tom Hulce,Jeffrey Jones,Roy Dotrice,
80tal,"Vad hette filmen med ""Life moves pretty fast""?",Ferris Bueller's Day Off,The Breakfast Club,Sixteen Candles,Pretty in Pink,
80tal,"Vilken film hade ""Footloose"" som titelspår?",Footloose,Flashdance,Dirty Dancing,Fame,
80tal,Vilket barnprogram handlade om färgglada varelser som bodde i grottor?,Fragglarna,Smurferna,Mupparna,Sesam,
80tal,Vad hette Carolas vinnarlåt i Melodifestivalen 1983?,Främling,Mickey,Tokyo,Hunger,
80tal,Vad innebar INF-avtalet?,Förbud mot medelräckviddsmissiler,Kärnvapennedskärning,Testförbudstraktat,Icke-spridningsavtal,
80tal,Var började den första Intifadan?,Gaza,Västbanken,Jerusalem,Hebron,
80tal,Var grundades Hamas?,Gaza,Västbanken,Jerusalem,Ramallah,
80tal,Var träffades Reagan och Gorbatjov första gången?,Genève,Reykjavik,Washington,Moskva,
80tal,Vem var Ronald Reagans vicepresident?,George H.W. Bush,Walter Mondale,Dan Quayle,Gerald Ford,
80tal,Vem spelade Hannibal i The A-Team?,George Peppard,Mr. T,Dirk Benedict,Dwight Schultz,
80tal,Vem var USA:s utrikesminister under större delen av 80-talet?,George Shultz,Alexander Haig,James Baker,Warren Christopher,
80tal,"Vad hette filmen med ""Ghostbusters""-låten?",Ghostbusters,Gremlins,Back to the Future,E.T.,
80tal,Vad hette Formula 1-föraren som dog 1982?,Gilles Villeneuve,Elio de Angelis,Ronnie Peterson,Jochen Rindt,
80tal,Vad hette politiken som Gorbatjov införde?,Glasnost,Perestrojka,Demokratisering,Liberalisering,
80tal,Vad hette huvudkaraktären i Wall Street?,Gordon Gekko,Bud Fox,Carl Fox,Lou Mannheim,
80tal,Vad hette utomjordingen i ALF?,Gordon Shumway,ALF,Melmac,Willie Tanner,
80tal,Vad hette den svenska längdskidåkaren som vann guld 1988?,Gunde Svan,Thomas Wassberg,Torgny Mogren,Christer Majbäck,
80tal,"Vilket band sjöng ""Sweet Child O' Mine""?",Guns N' Roses,Bon Jovi,Def Leppard,Van Halen,
80tal,Vem ledde Tjeckoslovakiens kommunistregim?,Gustáv Husák,Alexander Dubček,Václav Havel,Ludvík Svoboda,
80tal,Vad hette TV-serien om en familj i 1950-talets Amerika?,Happy Days,Leave It to Beaver,The Andy Griffith Show,Father Knows Best,
80tal,Vem spelade Indiana Jones?,Harrison Ford,Tom Selleck,Kevin Costner,Mel Gibson,
80tal,Vem var Västtysklands kansler under 80-talet?,Helmut Kohl,Helmut Schmidt,Willy Brandt,Konrad Adenauer,
80tal,Vem mördade Indira Gandhi?,Hennes livvakter,Sikh-separatister,Pakistanska agenter,Tamil Tigers,
80tal,Vad kallades den kinesiska studentprotesten 1989?,Himmelska fridens torg,Tiananmen,Juni fjärde,Demokratirörelsen,
80tal,Vem var Japans kejsare under 80-talet?,Hirohito,Akihito,Naruhito,Meiji,
80tal,Vad hette den populära frisyren med kort hår framtill och långt baktill?,Hockeyfrilla,Mullet,Permanent,Tupé,
80tal,Vad hette Madonnas första stora hit från 1983?,Holiday,Like a Virgin,Material Girl,Papa Don't Preach,
80tal,Vem efterträdde Anwar Sadat som Egyptens president?,Hosni Mubarak,Gamal Abdel Nasser,Muhammad Naguib,Abdel Fattah el-Sisi,
80tal,"Vilket svenskt band sjöng ""Stoppa pressarna""?",Imperiet,Ebba Grön,KSMB,Trouble,
80tal,Vad hette Phil Collins stora hit från 1981?,In the Air Tonight,Against All Odds,Easy Lover,Another Day in Paradise,
80tal,I vilket land hände Bhopal-katastrofen?,Indien,Bangladesh,Pakistan,Sri Lanka,
80tal,Vem blev statsminister efter Olof Palme?,Ingvar Carlsson,Carl Bildt,Göran Persson,Ulf Adelsohn,
80tal,Vad hette skandalen som skakade Reagan-administrationen?,Iran-Contra,Watergate,Monica Lewinsky,Whitewater,
80tal,"Vem sjöng ""Flashdance... What a Feeling""?",Irene Cara,Jennifer Beals,Gloria Estefan,Donna Summer,
80tal,Vem mördade Anwar Sadat?,Islamiska Jihad,Muslimska brödraskapet,Al-Qaeda,Hamas,
80tal,Vem vann fotbolls-VM 1982 i Spanien?,Italien,Brasilien,Västtyskland,Argentina,
80tal,Vem regisserade Stripes?,Ivan Reitman,John Hughes,Harold Ramis,John Landis,
80tal,Vem spelade Wanda i A Fish Called Wanda?,Jamie Lee Curtis,Kevin Kline,John Cleese,Michael Palin,
80tal,"Vem hade hit med ""I Love Rock 'n Roll""?",Joan Jett,Pat Benatar,Blondie,Heart,
80tal,Vem regisserade Gremlins?,Joe Dante,Steven Spielberg,John Hughes,Chris Columbus,
80tal,Vem var påve under 80-talet?,Johannes Paulus II,Paulus VI,Johannes Paulus I,Benedikt XVI,
80tal,Vem försökte mörda Ronald Reagan?,John Hinckley Jr.,Lee Harvey Oswald,Sirhan Sirhan,James Earl Ray,
80tal,Vem regisserade Weird Science?,John Hughes,Ivan Reitman,John Landis,Harold Ramis,
80tal,Vem regisserade The Blues Brothers?,John Landis,Ivan Reitman,John Hughes,Harold Ramis,
80tal,Vem vann Wimbledon i herr-singel 1981?,John McEnroe,Björn Borg,Jimmy Connors,Ivan Lendl,
80tal,"Vilket svenskt band hade hit med ""Timeless""?",John Norum,Europe,Treat,220 Volt,
80tal,Vad hette robotens namn i Short Circuit?,Johnny 5,WALL-E,R2-D2,C-3PO,
80tal,Vem spelade Tom Hanson i 21 Jump Street?,Johnny Depp,Richard Grieco,Peter DeLuise,Dustin Nguyen,
80tal,Vad hette John Belushis karaktär i The Blues Brothers?,Joliet Jake Blues,Elwood Blues,Curtis,Cab Calloway,
80tal,"Vilket band sjöng ""Don't Stop Believin'""?",Journey,Foreigner,REO Speedwagon,Styx,
80tal,Vem efterträdde Brezjnev som sovjetledare?,Jurij Andropov,Konstantin Tjernenko,Michail Gorbatjov,Nikolaj Tikhonov,
80tal,Vem var Ungersk kommunistledare fram till 1988?,János Kádár,Mátyás Rákosi,Imre Nagy,Károly Grósz,
80tal,Vem spelade Mike Seaver?,Kirk Cameron,Jason Bateman,Fred Savage,Neil Patrick Harris,
80tal,Vad hette TV-serien om en pratande bil?,Knight Rider,The A-Team,Magnum P.I.,Miami Vice,
80tal,Vem efterträdde Andropov?,Konstantin Tjernenko,Michail Gorbatjov,Nikolaj Tikhonov,Viktor Tsjernomyrdin,
80tal,Vad hette Ulf Lundells album från 1982?,Kär och galen,Roskilde,Vargmåne,Sweethearts,
80tal,Vad var Tjernobyl?,Kärnkraftverk,Kemisk fabrik,Militärbas,Rymdcenter,
80tal,Vem spelade J.R. Ewing i Dallas?,Larry Hagman,Patrick Duffy,Jim Davis,Ken Kercheval,
80tal,Vem vann boxning i tungvikt-VM flest gånger under 80-talet?,Larry Holmes,Mike Tyson,Michael Spinks,Gerry Cooney,
80tal,"Vem hade hit med ""Gloria""?",Laura Branigan,Pat Benatar,Bonnie Tyler,Joan Jett,
80tal,Vem ledde Solidaritet?,Lech Wałęsa,Wojciech Jaruzelski,Adam Michnik,Tadeusz Mazowiecki,
80tal,Vad hette de populära träningsbenvärmare som bars utanpå kläderna?,Leg warmers,Benvärmare,Strumpor,Leggings,
80tal,Vad hette den amerikanska basketspelaren som dog 1986?,Len Bias,Reggie Lewis,Hank Gathers,Lloyd Daniels,
80tal,Vem var svensk Davis Cup-kapten 1984?,Lennart Bergelin,Hans Olsson,Kjell Johansson,Sven Davidson,
80tal,Vem var Argentinas president under Falklandskriget?,Leopoldo Galtieri,Jorge Rafael Videla,Reynaldo Bignone,Carlos Menem,
80tal,Vad hette David Bowies hit från 1983?,Let's Dance,China Girl,Modern Love,Blue Jean,
80tal,Vilket märke av jeans var mest populärt på 80-talet?,Levi's,Wrangler,Lee,Calvin Klein,
80tal,I vilket land grundades Hizbollah?,Libanon,Iran,Syrien,Palestina,
80tal,Vilket land anklagades för Lockerbie-bombningen?,Libyen,Syrien,Iran,Irak,
80tal,Vad hette kvinnan som skapades i Weird Science?,Lisa,Wyatt,Gary,Max,
80tal,Vad hette serien om en privat-detektiv som var blind?,Longstreet,Ironside,Cannon,Barnaby Jones,
80tal,Vilket Roxette-album släpptes 1988?,Look Sharp!,Pearls of Passion,Joyride,Tourism,
80tal,Vad hette Carl Lewis specialgren?,Längdhopp,100 meter,Stavhopp,Diskus,
80tal,Vad hette serien om en privat-detektiv på Hawaii?,Magnum P.I.,Hawaii Five-O,Jake in Progress,North Shore,
80tal,Vem var Storbritanniens premiärminister under 80-talet?,Margaret Thatcher,John Major,James Callaghan,Edward Heath,
80tal,Vad hette den amerikanska marinbasen som attackerades i Beirut 1983?,Marine Barracks,Embassy,Airport,Hotel,
80tal,Vem skapade thirtysomething?,Marshall Herskovitz,Edward Zwick,Steven Bochco,Dick Wolf,
80tal,Vem vann mest Grand Slam-titlar under 80-talet?,Martina Navratilova,Chris Evert,Steffi Graf,Tracy Austin,
80tal,Vad hette Michael J. Fox karaktär i Back to the Future?,Marty McFly,Doc Brown,Biff Tannen,George McFly,
80tal,Vem spelade Ferris Bueller?,Matthew Broderick,Michael J. Fox,John Cusack,Anthony Michael Hall,
80tal,Vad hette skidåkaren som vann fem OS-guld 1988?,Matti Nykänen,Pirmin Zurbriggen,Alberto Tomba,Frank-Peter Roetsch,
80tal,Vad hette Tom Cruises karaktär i Top Gun?,Maverick,Iceman,Goose,Viper,
80tal,Vem regisserade Spaceballs?,Mel Brooks,John Hughes,Ivan Reitman,Harold Ramis,
80tal,Vad hette serien med Don Johnson som polis?,Miami Vice,T.J. Hooker,Hunter,21 Jump Street,
80tal,Vem vann Oscar för bästa skådespelare 1987 för Wall Street?,Michael Douglas,Charlie Sheen,Martin Sheen,Daryl Hannah,
80tal,Vem spelade Alex P. Keaton?,Michael J. Fox,Jason Bateman,Kirk Cameron,Fred Savage,
80tal,Vem spelade Marty McFly i Back to the Future?,Michael J. Fox,Eric Stoltz,C. Thomas Howell,Ralph Macchio,
80tal,Vem spelade Batman i Tim Burtons film från 1989?,Michael Keaton,Val Kilmer,George Clooney,Christian Bale,
80tal,"Vem hade hit med ""Maniac""?",Michael Sembello,Irene Cara,Kenny Loggins,Berlin,
80tal,Vem var Sovjetunionens ledare under slutet av 80-talet?,Michail Gorbatjov,Leonid Brezjnev,Jurij Andropov,Konstantin Tjernenko,
80tal,Vem regisserade Amadeus?,Milos Forman,Peter Weir,Sydney Pollack,Robert Redford,
80tal,Vad hette serien med Bruce Willis före Die Hard?,Moonlighting,Miami Vice,Magnum P.I.,The Equalizer,
80tal,Vad hette serien om en häst?,Mr. Ed,Black Beauty,Fury,My Friend Flicka,
80tal,Vem var Libyens ledare under 80-talet?,Muammar Gaddafi,Saddam Hussein,Hafez al-Assad,Anwar Sadat,
80tal,Vad hette INXS stora hit från 1987?,Need You Tonight,What You Need,Listen Like Thieves,New Sensation,
80tal,Vem vann flest VM-titlar i F1 under 80-talet?,Nelson Piquet,Alain Prost,Ayrton Senna,Keke Rosberg,
80tal,Vad hette den första hemspelskonsolen från Nintendo?,NES,Famicom,Game Boy,Super Nintendo,
80tal,"Vem sjöng ""Blue Monday"" som blev en stor hit 1983?",New Order,Depeche Mode,Duran Duran,Human League,
80tal,Vem regisserade Born on the Fourth of July?,Oliver Stone,Brian De Palma,Michael Cimino,Francis Ford Coppola,
80tal,Vem var svensk förbundskapten i fotboll under 80-talet?,Olle Nordin,Sven-Göran Eriksson,Tommy Svensson,Georg Ericson,
80tal,"Vad betyder ""perestrojka""?",Omstrukturering,Öppenhet,Demokratisering,Liberalisering,
