Kategori,Fråga,Rätt svar,Fel svar 1,Fel svar 2,Fel svar 3
disney,"Vad heter skurken i ""Beauty and the Beast""?",Gaston,Jafar,Maleficent,Scar
disney,"Vad heter anden i ""Aladdin""?",Genie,Jafar,Abu,Iago
disney,"Vad heter den blå anden i ""Aladdin""?",Genie,Jafar,Abu,Iago
disney,Vad heter Walt Disney World största hotell?,Grand Floridian,Contemporary,Polynesian,Wilderness Lodge
disney,Vad heter Pocahontas träd-vän?,Grandmother Willow,Elder Oak,Wise Pine,Ancient Maple
disney,"Vilket djur är Hopper i ""A Bug's Life""?",Grashoppa,Myra,Skalbagge,Fjäril
disney,"Vad heter skurken i ""Hercules""?",Hades,Jafar,Maleficent,Scar
disney,"Vilket djur är Bruce i ""Hitta Nemo""?",Haj,Fisk,Sköldpadda,Krabba
disney,"Vilket djur är Rhino i ""Bolt""?",Hamster,Hund,Katt,Kanin
disney,Vad heter de sju dvärgarna?,Happy Sleepy Sneezy Dopey Grumpy Bashful Doc,Felaktiga namn,Andra namn,Tredje namnet
disney,Vad heter Moanas hane?,Heihei,Pua,Maui,Tamatoa
disney,"Vilket Disney-temapark har ""Tower of Terror""?",Hollywood Studios,Magic Kingdom,EPCOT,Animal Kingdom
disney,Vad heter Clarabelle Cows pojkvän?,Horace Horsecollar,Goofy,Pete,Chip
disney,Vad heter Donald Ducks nevöer?,Huey Dewey och Louie,Chip Dale och Rescue,Tick Trick och Track,Hip Hop och Hurray
disney,"Vilket djur är Dante i ""Coco""?",Hund,Katt,Papegoja,Ödla
disney,"Vilket djur är Copper i ""The Fox and the Hound""?",Hund,Räv,Björn,Varg
disney,"Vilket djur är Lady i ""Lady and the Tramp""?",Hund,Katt,Kanin,Hamster
disney,"Vilket djur är Trusty i ""Lady and the Tramp""?",Hund,Katt,Kanin,Hamster
disney,"Vilket djur är Bolt i ""Bolt""?",Hund,Katt,Hamster,Kanin
disney,"Vilket djur är Maximus i ""Rapunzel""?",Häst,Åsna,Mula,Pony
disney,"Vad heter papegojan i ""Aladdin""?",Iago,Jago,Abu,Pascal
disney,Vilken Pixar-film hade den största öppningshelgen?,Incredibles 2,Toy Story 4,Finding Dory,Cars 3
disney,Vilken Pixar-film handlar om känslor i en flickas huvud?,Inside Out,Up,WALL-E,Coco
disney,"Vilket element kontrollerar Elsa i ""Frozen""?",Is och snö,Eld,Vatten,Vind
disney,"Vad heter kaptenen i ""Pirates of the Caribbean""?",Jack Sparrow,Will Turner,Hector Barbossa,Davy Jones
disney,"Vad heter skurken i ""Aladdin""?",Jafar,Maleficent,Hades,Captain Hook
disney,"Vad heter prinsessan i ""Aladdin""?",Jasmine,Belle,Ariel,Aurora
disney,"Vad heter cowgirl i ""Toy Story""?",Jessie,Bo Peep,Molly,Hannah
disney,Vad heter Pinocchios syrsa?,Jiminy Cricket,Cri-Kee,Archimedes,Sebastian
disney,Vem grundade Pixar Animation Studios?,John Lasseter,Steve Jobs,George Lucas,Michael Eisner
disney,"Vem regisserade ""Toy Story""?",John Lasseter,Pete Docter,Andrew Stanton,Lee Unkrich
disney,Vad heter kapten Hooks piratfartyg?,Jolly Roger,Black Pearl,Flying Dutchman,Queen Anne's Revenge
disney,"Vad heter de fem känslorna i ""Inside Out""?",Joy Sadness Anger Fear Disgust,Happy Sad Mad Scared Gross,Glad Depressed Furious Afraid Sick,Elated Miserable Livid Terrified Nauseated
disney,Vad heter Tarzans adoptivmamma?,Kala,Kerchak,Terk,Jane
disney,"Vilket djur är Pascal i ""Rapunzel""?",Kameleont,Ödla,Salamander,Gecko
disney,"Vilket djur är Figaro i ""Pinocchio""?",Katt,Hund,Mus,Kanin
disney,"Vilket djur är Mittens i ""Bolt""?",Katt,Hund,Hamster,Kanin
disney,"Vilket djur är Thomas O'Malley i ""Aristocats""?",Katt,Hund,Mus,Kanin
disney,"Vilket djur är Marie i ""Aristocats""?",Katt,Hund,Mus,Kanin
disney,"Vilket djur är Toulouse i ""Aristocats""?",Katt,Hund,Mus,Kanin
disney,"Vilket djur är Berlioz i ""Aristocats""?",Katt,Hund,Mus,Kanin
disney,"Vad heter isbjörnen i ""Brother Bear""?",Kenai,Koda,Sitka,Denahi
disney,Vilket land kommer Mulan från?,Kina,Japan,Korea,Thailand
disney,"Vilket djur är Flit i ""Pocahontas""?",Kolibri,Fjäril,Trollslända,Bi
disney,Vad heter Gastons kompis?,LeFou,Maurice,Philippe,Lumiere
disney,"Vilken djurart är Simba i ""Lejonkungen""?",Lejon,Tiger,Panter,Gepard
disney,"Vilken Disney-film hade premiär samtidigt som ""Skönheten och Odjuret"" på Broadway?",Lejonkungen,Aladdin,Lilla sjöjungfrun,Frozen
disney,Vilken Disney-film baseras på en Shakespeare-pjäs?,Lejonkungen,Pocahontas,Hercules,Mulan
disney,"Vad heter bilen i ""Cars""?",Lightning McQueen,Speed Racer,Flash Gordon,Turbo Max
disney,"Vad heter bilen i ""Cars""?",Lightning McQueen,Mater,Sally,Doc Hudson
disney,"Vad heter den gula bilen i ""Cars""?",Lightning McQueen,Mater,Sally,Doc Hudson
disney,"Vad heter skurken i ""Toy Story 3""?",Lotso,Zurg,Sid,Stinky Pete
disney,"Vad heter kocken i ""Lilla sjöjungfrun""?",Louis,Sebastian,Flounder,Scuttle
disney,Vilken Pixar-studio grundades ursprungligen som en del av?,Lucasfilm,Disney,Apple,Industrial Light & Magic
disney,"Vad heter ljuset i ""Beauty and the Beast""?",Lumiere,Cogsworth,Mrs Potts,Chip
disney,"Vad heter den flygande mattan i ""Aladdin""?",Magic Carpet,Flying Rug,Aerial Mat,Sky Blanket
disney,"Vilket Disney-temapark har ""Splash Mountain""?",Magic Kingdom,EPCOT,Hollywood Studios,Animal Kingdom
disney,Vilken Disney-park var först med FastPass-systemet?,Magic Kingdom,Disneyland,EPCOT,Hollywood Studios
disney,"Vad heter den magiska spegeln i ""Snow White""?",Magic Mirror,Mirror Mirror,Talking Mirror,Fairy Mirror
disney,"Vad heter häxan i ""Sleeping Beauty""?",Maleficent,Evil Queen,Ursula,Jafar
disney,"Vad heter skurken i ""Sleeping Beauty""?",Maleficent,Evil Queen,Ursula,Jafar
disney,"Vad heter Nemos pappa i ""Hitta Nemo""?",Marlin,Bruce,Dory,Crush
disney,"Vad heter Belle pappa i ""Skönheten och Odjuret""?",Maurice,Jacques,Claude,Philippe
disney,Vad heter Goofy son?,Max,Goof,Junior,Bobby
disney,"Vad heter hjältinnan i ""Brave""?",Merida,Moana,Mulan,Pocahontas
disney,Vilken prinsessa skjuter med pilbåge?,Merida,Mulan,Pocahontas,Tiana
disney,Vilken prinsessa har rött hår och är skotsk?,Merida,Ariel,Anna,Belle
disney,"Vad heter prinsessan i ""Brave""?",Merida,Moana,Elsa,Anna
disney,"Vad heter trollkarlen i ""Fantasia""?",Mickey Mouse,Merlin,Genie,Fairy Godmother
disney,Vad heter Walt Disneys första framgångsrika karaktär?,Mickey Mouse,Donald Duck,Goofy,Pluto
disney,"Vilken Disney-karaktär debuterade i ""Steamboat Willie""?",Mickey Mouse,Donald Duck,Goofy,Pluto
disney,Vilken Disney-karaktär har egen stjärna på Hollywood Walk of Fame?,Mickey Mouse,Donald Duck,Goofy,Pluto
disney,Vad heter Walt Disneys favorite karaktär som han skapade?,Mickey Mouse,Donald Duck,Goofy,Bambi
disney,Vilken Disney-karaktär blev kändis först?,Mickey Mouse,Felix the Cat,Oswald the Lucky Rabbit,Donald Duck
disney,Vad heter den hemliga klubb som Mickey leder?,Mickey Mouse Clubhouse,Mickey Club,Mouse Club,Disney Club
disney,"Vad heter pojken i ""Coco""?",Miguel,Ernesto,Héctor,Dante
disney,Vad heter Minnie Mouse fullständiga namn?,Minerva Mouse,Michelle Mouse,Miranda Mouse,Melody Mouse
disney,Vad heter Mikeys flickvän?,Minnie Mouse,Daisy Duck,Clarabelle Cow,Petunia Pig
disney,"Vad heter spindeln i ""James and the Giant Peach""?",Miss Spider,Charlotte,Aranea,Webster
disney,"Vad heter hjältinnan i ""Moana""?",Moana,Maui,Sina,Tala
disney,Vilken Pixar-film vann första Oscarn för bästa animerade film?,Monsters Inc,Shrek vann,Finding Nemo,The Incredibles
disney,Vilken Pixar-film handlar om två monster som skrämmer barn?,Monsters Inc,A Bug's Life,The Incredibles,Cars
disney,"Vad heter företaget där monstren arbetar i ""Monsters Inc""?",Monsters Incorporated,Scare Inc,Monster Corp,Fright Factory
disney,"Vad heter universitet i ""Monsters University""?",Monsters University,Scare College,Fright Academy,Monster Institute
disney,Vad heter Mickey Mouse ursprungliga namn?,Mortimer Mouse,Mitchell Mouse,Martin Mouse,Marcus Mouse
disney,"Vad heter ön i ""Moana""?",Motunui,Te Fiti,Lalotai,Tamatoa
disney,"Vad heter pappan i ""The Incredibles""?",Mr Incredible,Elastigirl,Dash,Violet
disney,"Vad heter tekannan i ""Beauty and the Beast""?",Mrs Potts,Lumiere,Cogsworth,Chip
disney,Vilken prinsessa bor i Kina?,Mulan,Jasmine,Pocahontas,Moana
disney,Vad heter Mulans drake?,Mushu,Sisu,Elliott,Haku
disney,"Vilket djur är Flik i ""A Bug's Life""?",Myra,Grashoppa,Skalbagge,Fjäril
disney,Vilket djur hjälper Cinderella med hushållsarbetet?,Möss,Fåglar,Katter,Hundar
disney,Vad heter byn där Belle bor?,Okänt,Villeneuve,Provincial Town,French Village
disney,"Vilket djur förvandlas Beast från i ""Skönheten och Odjuret""?",Okänt magiskt djur,Björn,Varg,Bison
disney,"Vad heter snömannen i ""Frozen""?",Olaf,Sven,Kristoff,Hans
disney,"Vilket djur är King Louie i ""Djungelboken""?",Orangutang,Gorilla,Schimpans,Babian
disney,"Vilket djur är Bagheera i ""Djungelboken""?",Panter,Tiger,Leopard,Jaguar
disney,"Vilken stad utspelar sig ""Aristocats"" i?",Paris,London,New York,Rom
disney,"Vad heter kameleonten i ""Rapunzel""?",Pascal,Abu,Sebastian,Cri-Kee
disney,Vad heter Hercules älskade häst?,Pegasus,Bucephalus,Rocinante,Thunder
disney,Vad heter pojken som inte vill växa upp?,Peter Pan,Pinocchio,Mowgli,Bambi
disney,Vad heter Belle häst?,Philippe,Maximus,Pegasus,Angus
disney,Vad heter produktionsbolaget som gör Pixar-filmerna?,Pixar Animation Studios,Disney-Pixar,Pixar Productions,Animation Studios
disney,Vad heter Mickey Mouse hund?,Pluto,Goofy,Bruno,Bolt
disney,Vilken prinsessa är en indianprinsessa?,Pocahontas,Moana,Mulan,Jasmine
disney,"Vad heter prinsen i ""Cinderella""?",Prince Charming,Prince Christopher,Prince Henry,Prince William
disney,Vilken Disney-film var sist att använda traditionell handteckning?,Princess and the Frog,Winnie the Pooh,Moana,Frozen
disney,"Vad heter Jack Skellington i ""Nightmare Before Christmas""?",Pumpkin King,Skeleton King,Halloween King,Bone King
disney,Vilken prinsessa har magiskt långt hår?,Rapunzel,Aurora,Ariel,Belle
disney,Vilken Pixar-film handlar om en kock-råtta?,Ratatouille,A Bug's Life,Monsters Inc,The Incredibles
disney,"Vad heter huvudkaraktären i ""Ratatouille""?",Remy,Linguini,Skinner,Ego
disney,"Vilket djur är Sven i ""Frozen""?",Ren,Älg,Hjort,Rådjur
disney,Vad heter tekniken som Pixar utvecklade för realistisk animation?,RenderMan,PixarTech,AnimaCore,ToonShader
disney,Vad heter Chip och Dales räddningsgrupp?,Rescue Rangers,Chipmunk Squad,Nut Brigade,Chip Force
disney,Vad heter Walt Disneys bror som grundade företaget med honom?,Roy Disney,Bob Disney,Frank Disney,George Disney
disney,"Vilken färg har Ariel hår i ""Lilla sjöjungfrun""?",Röd,Blond,Brun,Svart
disney,Vilken färg har Jafars papegoja Jago?,Röd,Blå,Grön,Gul
disney,"Vad heter skurken i ""Lejonkungen""?",Scar,Jafar,Hades,Maleficent
disney,Vad heter DuckTales farbror?,Scrooge McDuck,Donald Duck,Howard Duck,Uncle Duck
disney,"Vad heter krabban i ""The Little Mermaid""?",Sebastian,Louis,Flounder,Scuttle
disney,Vilken Disney-film vann första Oscarn för bästa animerade film?,Shrek vann första,Beauty and the Beast nominerades först,Lion King,Little Mermaid
disney,Vad heter lejonkungen innan han blir kung?,Simba,Mufasa,Scar,Nala
disney,"Vilket djur är Flower i ""Bambi""?",Skunk,Kanin,Räv,Ekorre
disney,"Vilket djur är Crush i ""Hitta Nemo""?",Sköldpadda,Fisk,Haj,Krabba
disney,Vilken prinsessa talar med djur?,Snövit,Belle,Aurora,Cinderella
disney,Vad heter den första Disney-prinsessan?,Snövit,Cinderella,Aurora,Ariel
disney,Vilken var Disneys första tecknade långfilm?,Snövit och de sju dvärgarna,Pinocchio,Fantasia,Bambi
disney,Vilken Disney-attraktion öppnade först i Tomorrowland?,Space Mountain,Carousel of Progress,It's a Small World,Pirates of the Caribbean
disney,Vem köpte Pixar från George Lucas?,Steve Jobs,Disney,John Lasseter,Michael Eisner
disney,"Vad heter monstret under sängen i ""Monsters Inc""?",Sulley,Mike,Boo,Randall
disney,"Vad heter det blå monstret i ""Monsters Inc""?",Sulley,Mike,Randall,Boo
disney,"Vilket djur är Timon i ""Lejonkungen""?",Surikat,Vårtsvin,Hyena,Antilop
disney,"Vilket djur är Cri-Kee i ""Mulan""?",Syrsa,Groda,Trollslända,Fjäril
disney,Vilken Disney-film hade den största budgeten?,Tangled,Frozen,Moana,Big Hero 6
disney,"Vilken gud vill Maui stjäla hjärtat från i ""Moana""?",Te Fiti,Te Kā,Tamatoa,Kakamora
disney,"Vad heter stormen i ""Moana""?",Te Kā,Te Fiti,Tamatoa,Maui
disney,Vad heter den första Pixar-kortfilmen?,The Adventures of André and Wally B,Luxo Jr,Red's Dream,Tin Toy
disney,Vilken Pixar-film handlar om en familj som reser genom tiden?,The Good Dinosaur,Inside Out,Up,Coco
disney,Vilken Pixar-film hade den längsta produktionstiden?,The Good Dinosaur,Brave,Cars 2,Monsters University
disney,Vilken Pixar-film handlar om en familj med superhjältekrafter?,The Incredibles,Big Hero 6,Fantastic Four,The Avengers
disney,Vad heter kompisen till Bambi som är kanin?,Thumper,Flower,Faline,Friend Owl
disney,Vilken prinsessa kysser en groda?,Tiana,Belle,Ariel,Rapunzel
disney,Vilken prinsessa förvandlas till en groda?,Tiana,Belle,Ariel,Jasmine
disney,"Vilket djur är Raja i ""Aladdin""?",Tiger,Lejon,Panter,Leopard
disney,Vad heter Pixars motto?,To make great films,Animation excellence,Creative storytelling,Magic through technology
disney,Vilket Disney-land öppnade först utanför USA?,Tokyo Disneyland,Disneyland Paris,Hong Kong Disneyland,Shanghai Disneyland
disney,Vilken var Pixars första långfilm?,Toy Story,A Bug's Life,Monsters Inc,Finding Nemo
disney,Vilken Pixar-film handlar om en häst som tror han är en riktig cowboy?,Toy Story,Cars,A Bug's Life,Planes
disney,Vilken Pixar-film handlar om leksaker som lever när människor inte ser?,Toy Story,A Bug's Life,Monsters Inc,Cars
disney,Vilken Pixar-film var första att få en uppföljare?,Toy Story,Cars,Monsters Inc,The Incredibles
disney,Vilken Pixar-film hade flest uppföljare?,Toy Story,Cars,Monsters Inc,The Incredibles
disney,"Vilken Pixar-film introducerade ""Pizza Planet""-lastbilen?",Toy Story,A Bug's Life,Monsters Inc,Cars
disney,"Vilket djur är Meeko i ""Pocahontas""?",Tvättbjörn,Ekorre,Räv,Opossum
disney,Vilken Pixar-film handlar om en gammal man som flyger med ballonger?,Up,WALL-E,Inside Out,Coco
disney,"Vad heter häxan i ""Lilla sjöjungfrun""?",Ursula,Maleficent,Evil Queen,Jafar
disney,"Vad heter skurken i ""The Little Mermaid""?",Ursula,Maleficent,Evil Queen,Jafar
disney,"Vilket djur är Pumbaa i ""Lejonkungen""?",Vårtsvin,Surikat,Hyena,Antilop
disney,Vilken Pixar-film handlar om en robot som städar jorden?,WALL-E,EVE,AUTO,M-O
disney,Vad heter Walt Disney Studios park i Paris?,Walt Disney Studios,Disney Studios Paris,Disney Hollywood Studios,Movie Magic Kingdom
disney,"Vad heter klädskåpet i ""Beauty and the Beast""?",Wardrobe,Armoire,Closet,Dresser
disney,"Vad heter trollkvinnan i ""Brave""?",Witch,Merida,Elinor,Fergus
disney,"Vad heter Andy leksaker äkta cowboy i ""Toy Story""?",Woody,Buzz Lightyear,Rex,Mr Potato Head
disney,"Vad heter Woody cowboy i ""Toy Story""?",Woody Pride,Woody Johnson,Woody Smith,Woody Jones
disney,"Vad heter fågeln i ""The Lion King""?",Zazu,Timon,Pumbaa,Simba
disney,Vilken gud är Hercules pappa?,Zeus,Poseidon,Hades,Apollo
disney,"Vad heter Buzz Lightyears fiende i ""Toy Story""?",Zurg,Sid,Lotso,Stinky Pete
disney,Vad heter Mulan's drake?,Mushu,Ming,Cri-Kee,Khan
disney,Vilken färg har Belle's klänning i Skönheten och Odjuret?,Gul,Blå,Rosa,Grön
disney,Vad heter Ariel's far i Lilla Sjöjungfrun?,Triton,Poseidon,Neptune,Aquaman
disney,Vad heter hästen i Tangled?,Maximus,Angus,Philippe,Samson
disney,Vilken Disney-film var den första att nomineras för Bästa Film Oscar?,Skönheten och Odjuret,Lejonkungen,Lilla Sjöjungfrun,Aladdin
disney,Vad heter Pocahontas träd?,Mormor Willow,Farfar Ek,Faster Björk,Morfar Lönn
disney,Vilken stad utspelar sig Ratatouille i?,Paris,Rom,London,Madrid
disney,Vad heter Sleeping Beauty's tre goda feer sammantaget?,Flora Fauna och Merryweather,Faith Hope och Charity,Grace Beauty och Wisdom,Dawn Noon och Evening
disney,"Vilken Disney-karaktär säger ""Hakuna Matata""?",Timon och Pumbaa,Simba och Nala,Zazu och Rafiki,Mufasa och Sarabi
disney,Vad heter Jasmine's tiger?,Rajah,Sultan,Jafar,Iago
disney,Vilken färg har Tinker Bell's klänning?,Grön,Gul,Blå,Rosa
disney,Vad heter Herkules pegasus?,Pegasus,Bellerophon,Chrysaor,Arion
disney,Vilken Disney-prinsessa bor i New Orleans?,Tiana,Belle,Pocahontas,Mulan
disney,Vad heter Quasimodo's tre gargoyler?,Hugo Victor och Laverne,Tom Dick och Harry,Larry Curly och Moe,Athos Porthos och Aramis
disney,Vilken Disney-film handlar om en fisk som letar efter sin son?,Hitta Nemo,Lilla Sjöjungfrun,Moana,Vaiana
disney,Vad heter Bambi's kanin-vän?,Thumper,Flower,Friend Owl,Faline
disney,Vilken Disney-karaktär förvandlas till en groda?,Naveen,Eric,Adam,Hans
