Kategori,Fråga,Rätt svar,Fel svar 1,Fel svar 2,Fel svar 3,
geografi,Var finns Europas största bergskedja?,Alperna,Pyrenéerna,Kaukasus,Balkanbergen,
geografi,Vad kallas den berömda bergspasset mellan Frankrike och Italien?,Alpernas pass,Mont Blanc-tunneln,Bernina-passet,Sankt Gotthard,
geografi,Denna flod har världens största avrinningsområde,Amazonas,Kongo,Mississippi,Nilen,
geografi,Denna flod delar kontinenten Sydamerika,Amazonas,Orinoco,Paraná,Magdalena,
geografi,Huvudstad i Jordanien?,Amman,Reykjavik,Nairobi,Lissabon,
geografi,Genom Amsterdam flyter vilken flod?,Amstel,Elbe,Themsen,Moldau,
geografi,Vad heter huvudstaden i Nederländerna?,Amsterdam,Alger,Santo Domingo,Kingston,
geografi,Flygplatsen Schiphol hör till vilken stad?,Amsterdam,Kyoto,Podgorica,Singapore,
geografi,Var ligger Anne Franks hus?,Amsterdam,Bryssel,Hamburg,Wien,
geografi,I vilken europeisk stad ligger det berömda Rijksmuseum?,Amsterdam,Rotterdam,Haag,Eindhoven,
geografi,I vilken europeisk stad kan du besöka det berömda Van Gogh-museet?,Amsterdam,Paris,London,Berlin,
geografi,I vilken europeisk stad kan du besöka det berömda Stedelijk-museet?,Amsterdam,Rotterdam,Haag,Utrecht,
geografi,Vad heter halvön där Istanbul ligger?,Anatolien,Balkan,Krim,Sinaibergen,
geografi,Vilken spansk region är känd för sina olivträd?,Andalusien,Extremadura,Castilla-La Mancha,Murcia,
geografi,Vad heter den bergskedja som sträcker sig genom Sydamerika?,Anderna,Himalaya,Alperna,Atlasbergen,
geografi,Denna bergskedja delar Sydamerika från nord till syd,Anderna,Brasilianska höglandet,Guyana-höglandet,Patagoniska Anderna,
geografi,Vad heter Europas högst belägna stad?,Andorra la Vella,Davos,Zermatt,Innsbruck,
geografi,Vad heter världens högsta vattenfall?,Angel Falls,Victoria Falls,Niagara Falls,Iguazu Falls,
geografi,Vad heter templen nära Siem Reap som är världsarv?,Angkor Wat,Borobudur,Shwedagon,Batu Caves,
geografi,"I Turkiet, vilken stad är huvudstad?",Ankara,New Delhi,Bamako,Teheran,
geografi,Vilken kontinent saknar permanenta bosättningar?,Antarktis,Australien,Asien,Europa,
geografi,Vart ligger världens största kontinentala glaciär?,Antarktis,Grönland,Patagonien,Island,
geografi,I detta land ligger världens mest blåsiga plats,Antarktis,Grönland,Patagonien,Storbritannien,
geografi,Vart ligger världens största meteoritsårsområde?,Antarktis,Sahara,Australien,Grönland,
geografi,Denna bergskedja löper längs Italiens ryggrad,Apenniner,Alperna,Dolomiter,Abruzzerna,
geografi,Vad heter världens största halvö?,Arabiska halvön,Skandinaviska halvön,Iberiska halvön,Alaska,
geografi,Vilken luxemburgsk region är känd för sina slott?,Ardenner,Gutland,Müllerthal,Éislek,
geografi,Vad heter den kända amfiteatern i Verona?,Arena di Verona,Arles Arena,Orange Teater,Pompeji Arena,
geografi,I vilket land finns Aconcagua?,Argentina,Spanien,Turkiet,Iran,
geografi,Vad heter Sydamerikas näst största land till ytan?,Argentina,Peru,Colombia,Venezuela,
geografi,I detta land ligger världens sydligaste stad,Argentina,Chile,Nya Zeeland,Australien,
geografi,Var ligger Iguazúfallen?,Argentina/Brasilien,Peru/Chile,Colombia/Ecuador,Panama/Kuba,
geografi,Vilken stat i USA har Grand Canyon?,Arizona,Nevada,Utah,New Mexico,
geografi,Vad heter Sveriges största flygplats?,Arlanda,Landvetter,Bromma,Sturup,
geografi,Var hittar man Europas största amfiteater efter Colosseum?,Arles,Verona,Trier,Syrakusa,
geografi,Vilken världsdel har flest invånare?,Asien,Afrika,Europa,Sydamerika,
geografi,Var ligger den berömda floden Mekong?,Asien,Europa,Afrika,Nordamerika,
geografi,På denna kontinent ligger både den högsta och lägsta punkten på jorden,Asien,Sydamerika,Afrika,Nordamerika,
geografi,Vad heter huvudstaden i Kazakstan?,Astana,Tashkent,Baku,Almaty,
geografi,"I Paraguay, vilken stad är huvudstad?",Asunción,Prag,Abu Dhabi,Lissabon,
geografi,Vad heter öknen i norra Chile känd för sin torka?,Atacama,Sonora,Sahara,Kalahari,
geografi,Vad heter öknen där San Pedro de Atacama ligger?,Atacama,Patagonien,Sonora,Gobi,
geografi,Sydamerikas torraste plats är denna öken,Atacama,Patagonia,Pampas,Sertão,
geografi,Var finns Akropolis?,Aten,Rom,Istanbul,Napoli,
geografi,Var finns Atens gamla teater Dionysos?,Aten,Rom,Syrakusa,Sofia,
geografi,Vad heter Greklands heliga klippa med klosterstad?,Athos,Meteora,Delphi,Patmos,
geografi,Genom Marocko sträcker sig denna bergskedja,Atlasbergen,Anderna,Himalaya,Uralbergen,
geografi,Denna bergskedja löper genom norra Afrika,Atlasbergen,Aïr,Tibesti,Ahaggar,
geografi,Vad heter Nya Zeelands största flygplats?,Auckland,Christchurch,Wellington,Dunedin,
geografi,Sydney finns i vilket land?,Australien,Kuba,Syrien,Spanien,
geografi,I vilket land ligger Melbourne?,Australien,Kanada,Tyskland,Nepal,
geografi,I vilket land ligger Brisbane?,Australien,USA,Tjeckien,Filippinerna,
geografi,Perth finns i vilket land?,Australien,Paraguay,Kuba,Sydkorea,
geografi,Uluru finns i vilket land?,Australien,Indien,Turkiet,Island,
geografi,Var ligger ön Tasmanien?,Australien,Tjeckien,Nepal,Serbien,
geografi,Var hittar du Simpson Desert?,Australien,Schweiz,Ukraina,Nepal,
geografi,Var ligger Great Ocean Road?,Australien,Nya Zeeland,Sydafrika,Kanada,
geografi,Var finns världens största sandö Fraser Island?,Australien,Nya Zeeland,Fiji,Indonesien,
geografi,Vart ligger världens största korallrev?,Australien,Filippinerna,Maldiverna,Bahamas,
geografi,På denna kontinent finns inga aktiva vulkaner,Australien,Europa,Afrika,Antarktis,
geografi,Pendolino-tåg opereras av detta bolag i Storbritannien,Avanti West Coast,CrossCountry,LNER,Great Western Railway,
geografi,Vilken ögrupp ligger utanför Portugals kust?,Azorerna,Kanarieöarna,Madeira,Balearerna,
geografi,Detta hav ligger helt inuti Ryssland,Azovska havet,Svarta havet,Vita havet,Barents hav,
geografi,"I Irak, vilken stad är huvudstad?",Bagdad,Thimphu,Buenos Aires,Podgorica,
geografi,Vad heter världens djupaste sjö?,Bajkalsjön,Victoriasjön,Eriesjön,Hornavan,
geografi,Vilken azerbajdzjansk stad ligger vid Kaspiska havet?,Baku,Ganja,Sumgayit,Mingachevir,
geografi,Vad heter Centraleuropas största sjö?,Balatonsjön,Bodensjön,Gardasjön,Genèvesjön,
geografi,Vad heter Spaniens största ögrupp?,Balearerna,Kanarieöarna,Azorerna,Madeira,
geografi,Vad heter ön i Indonesien känd för surf och yoga?,Bali,Lombok,Java,Sumatra,
geografi,Vad heter bergskedjan mellan Bulgarien och Serbien?,Balkanbergen,Alperna,Pyrenéerna,Karpaterna,
geografi,Huvudstad i Mali?,Bamako,London,Bukarest,Seoul,
geografi,"Vad heter den klassiska backpacker-rutten i Sydostasien?",Banana Pancake Trail,Silk Road,Camino de Santiago,Ho Chi Minh-rutten,
geografi,Vad heter huvudstaden i Thailand?,Bangkok,Dodoma,Bern,Ulaanbaatar,
geografi,Suvarnabhumi ligger vid vilken stad?,Bangkok,London,Christchurch,Kapstaden,
geografi,Flygplatsen El Prat hör till vilken stad?,Barcelona,Bogotá,Braga,Casablanca,
geografi,Vad heter Spaniens näst största stad?,Barcelona,Valencia,Sevilla,Bilbao,
geografi,Var ligger Sagrada Familia?,Barcelona,Madrid,Lissabon,Marseille,
geografi,Var kan man gå på promenad längs La Rambla?,Barcelona,Sevilla,Napoli,Lissabon,
geografi,Var finns Gaudis Park Güell?,Barcelona,Sevilla,Madrid,Valencia,
geografi,Denna europeiska stad har flest kruisningshamnar,Barcelona,Southampton,Civitavecchia,Pireus,
geografi,I vilken europeisk stad kan du besöka det berömda Picasso-museet?,Barcelona,Madrid,Paris,London,
geografi,I vilken stad ligger det berömda Casa Batlló?,Barcelona,Madrid,Valencia,Sevilla,
geografi,Vilken spansk region är känd för sina pintxos?,Baskien,Katalonien,Galicien,Asturien,
geografi,Vad heter världens äldsta spa-stad?,Bath,Baden-Baden,Vichy,Evian,
geografi,Var ligger slottet Neuschwanstein?,Bayern,Sachsen,Thüringen,Hamburg,
geografi,Vilken tysk region är känd för sina julmarknader?,Bayern,Baden-Württemberg,Sachsen,Thüringen,
geografi,Vad heter Libanons huvudstad?,Beirut,Amman,Damaskus,Nicosia,
geografi,I vilket land hittar du Gent?,Belgien,Turkiet,Bhutan,USA,
geografi,Antwerpen finns i vilket land?,Belgien,Qatar,Paraguay,Tjeckien,
geografi,I vilket land hittar du Brugge?,Belgien,Österrike,Irak,Norge,
geografi,Vad heter huvudstaden i Serbien?,Belgrad,Canberra,Doha,Dublin,
geografi,Var kan man dyka vid Blue Hole?,Belize,Maldiverna,Filippinerna,Moçambique,
geografi,Vad heter Storbritanniens högsta berg?,Ben Nevis,Scafell Pike,Snowdon,Carrantuohill,
geografi,Var består naturundret Dolomiterna av?,Berg,Öar,Floder,Sjöar,
geografi,Vad heter tågsträckan mellan Oslo och Bergen?,Bergensbanan,Dovrebanan,Arlandabanan,Raumabanan,
geografi,Vad kallas det när kontinentalplattorna pressas samman och bildar berg?,Bergskedjeveckning,Orogenes,Tektonisk kollision,Kompression,
geografi,Vad heter den naturliga vattenled som förbinder Asien och Nordamerika?,Beringsund,Beringhavet,Davis sund,Hudson sund,
geografi,Vilken stad är huvudstad i Tyskland?,Berlin,Kairo,Santiago,Podgorica,
geografi,Var hittar man Europas största naturhistoriska museum?,Berlin,London,Paris,Vienna,
geografi,Denna stad har Europas längsta spårvägnät,Berlin,Wien,Dresden,Graz,
geografi,I vilken tysk stad står Brandenburger Tor?,Berlin,München,Hamburg,Köln,
geografi,"I vilken europeisk stad kan du besöka det berömda Pergamon-museet?",Berlin,München,Hamburg,Dresden,
geografi,Vilken stad är huvudstad i Schweiz?,Bern,Bogotá,Warszawa,Addis Abeba,
geografi,Vilken schweizisk region är känd för sina alphorn?,Bern,Valais,Graubünden,Uri,
geografi,Detta land har den högsta medelshöjden över havet,Bhutan,Nepal,Afghanistan,Peru,
geografi,I vilken stad kan du besöka det berömda Guggenheim-museet i Europa?,Bilbao,Madrid,Barcelona,Valencia,
geografi,Vad kallas den del av jorden där liv kan existera?,Biosfär,Atmosfär,Hydrosfär,Litosfär,
geografi,Vad heter vikingastaden som är världsarv i Mälaren?,Birka,Sigtuna,Uppsala,Visby,
geografi,Var kan man bada i varma källor i fjällen?,Björnlandets Nationalpark,Abisko,Hornavan,Båstad,
geografi,Vad heter öknen där Burning Man-festivalen sker?,Black Rock Desert,Sonora,Atacama,Gobi,
geografi,Var ligger Nationalmuseum?,Blasieholmen,Skeppsholmen,Kungsholmen,Djurgården,
geografi,Vilken slovensk stad ligger vid foten av Alperna?,Bled,Ljubljana,Maribor,Kranj,
geografi,Var hittar man Karlskronas världsarv med örlogshamn?,Blekinge,Halland,Skåne,Östergötland,
geografi,Vad heter Islands största termalbad?,Blå lagunen,Myvatn,Fontana,Secret Lagoon,
geografi,Denna flod är Afrikas längsta biflod,Blå Nilen,Vita Nilen,Atbara,Sobat,
geografi,"I Colombia, vilken stad är huvudstad?",Bogotá,Vientiane,New Delhi,Kyiv,
geografi,Var ligger hällristningarna i Tanum?,Bohuslän,Västergötland,Småland,Närke,
geografi,I vilket landskap ligger Kosterhavets nationalpark?,Bohuslän,Öland,Sörmland,Småland,
geografi,Var ligger Death Road som många cyklar?,Bolivia,Peru,Guatemala,Nicaragua,
geografi,Var kan man resa till Salar de Uyuni?,Bolivia,Peru,Chile,Ecuador,
geografi,I detta land finns världens högsta huvudstad,Bolivia,Peru,Ecuador,Colombia,
geografi,Vart ligger världens största saltöken?,Bolivia,Chile,Argentina,Peru,
geografi,Vad heter Europas äldsta universitet grundat 1088?,Bologna,Oxford,Sorbonne,Heidelberg,
geografi,Denna italienska stad har bevarat sina trolleybussar från 1950-talet,Bologna,Parma,Milano,Torino,
geografi,Vad heter världens största bokningssajt för boenden?,Booking.com,Expedia,Hotels.com,Tripadvisor,
geografi,Var finns Europas största vinhus?,Bordeaux,Rioja,Chianti,Champagne,
geografi,Vad heter det kända templet som ligger i Java?,Borobudur,Shwedagon,Angkor Wat,Bagan,
geografi,I vilket land ligger Kalahariöknen?,Botswana,Australien,Dominikanska republiken,Italien,
geografi,Var ligger Okavangodeltat?,Botswana,Zambia,Angola,Namibia,
geografi,I detta land finns världens största inlandsdelta,Botswana,Mali,Nigeria,Sudan,
geografi,Vad heter slottet i Rumänien förknippat med Dracula?,Bran-slottet,Peles-slottet,Rasnov-slottet,Corvin-slottet,
geografi,Vad heter gaten i Berlin som är en symbol för Tysklands enande?,Brandenburger Tor,Reichstag,Checkpoint Charlie,Kaiser Wilhelm-kyrkan,
geografi,Kristusstatyn i Rio finns i vilket land?,Brasilien,Jamaica,Spanien,Nigeria,
geografi,Vad heter Sydamerikas största land?,Brasilien,Argentina,Peru,Chile,
geografi,Vilket land har störst kaffeproduktion?,Brasilien,Colombia,Vietnam,Indonesien,
geografi,Vilket land är störst till ytan i Sydamerika?,Brasilien,Argentina,Peru,Chile,
geografi,I detta land rinner tre av världens största floder samman,Brasilien,Peru,Colombia,Venezuela,
geografi,Vart finns världens största mangroveskog?,Brasilien,Bangladesh,Nigeria,Australien,
geografi,Vart finns världens största sammanhängande regnskogsmråde?,Brasilien,Kongo,Indonesien,Peru,
geografi,Huvudstad i Brasilien?,Brasília,Bratislava,Abu Dhabi,Bangkok,
geografi,Vad heter Slovakiens huvudstad?,Bratislava,Prag,Budapest,Wien,
geografi,Vilken slovakisk stad har den största borgen i Europa?,Bratislava,Košice,Nitra,Banská Bystrica,
geografi,Vad heter Barbados huvudstad?,Bridgetown,Kingstown,Port of Spain,Castries,
geografi,Vad heter staden i Belgien känd för sin öl och choklad?,Brugge,Antwerpen,Bryssel,Gent,
geografi,Vad heter den största spårvagnshållplatsen i Göteborg?,Brunnsparken,Drottningtorget,Korsvägen,Centralstationen,
geografi,"I Belgien, vilken stad är huvudstad?",Bryssel,London,Phnom Penh,Tirana,
geografi,Var står kända statyn Manneken Pis?,Bryssel,Amsterdam,Prag,Berlin,
geografi,Vad heter residenset för brittiska kungafamiljen?,Buckingham Palace,Windsor Palace,Tower of London,Balmoral,
geografi,Huvudstad i Ungern?,Budapest,Santiago,Bern,Dakar,
geografi,Var ligger bastionen Fisherman’s Bastion?,Budapest,Bukarest,Wien,Prag,
geografi,Var ligger Szechenyi termalbad?,Budapest,Prag,Sofia,Ljubljana,
geografi,Var finns Europas största synagoga?,Budapest,Prag,Wien,Amsterdam,
geografi,Vilken stad har det största parlamentsbyggnaden i Europa?,Budapest,Debrecen,Szeged,Pécs,
geografi,"Vilken ungersk stad är känd för sina termalbad?",Budapest,Debrecen,Szeged,Pécs,
geografi,Vad heter huvudstaden i Argentina?,Buenos Aires,Santiago,Alger,Moskva,
geografi,"Var finns Ezeiza International Airport?",Buenos Aires,Lima,Santiago,Rio de Janeiro,
geografi,Huvudstad i Rumänien?,Bukarest,Tallinn,Hanoi,Kuala Lumpur,
geografi,Vilken rumänsk region är känd för sina målade kloster?,Bukovina,Moldavien,Valakiet,Transsylvanien,
geografi,Var finns Europas största guldskatt Varna?,Bulgarien,Rumänien,Serbien,Grekland,
geografi,Vad heter det berömda slottet vid Rhen?,Burg Eltz,Heidelberg,Marksburg,Hohenzollern,
geografi,Vad heter Myanmar tidigare?,Burma,Siam,Laos,Kambodja,
geografi,Vad heter kända ökenfestivalen i Nevada som lockar resenärer?,Burning Man,Coachella,Tomorrowland,Full Moon Party,
geografi,Vilken tjeckisk region är känd för sitt kristall?,Böhmen,Mähren,Schlesien,Prag,
geografi,Vad heter Australiens huvudstad?,Canberra,Sydney,Melbourne,Brisbane,
geografi,Vad heter Ghanas fästning som backpackers ofta besöker?,Cape Coast Castle,Elmina Castle,Jamestown Fort,Accra Fort,
geografi,Var hittar du badgrottan Blue Grotto?,Capri,Mallorca,Ibiza,Santorini,
geografi,Vilken stad är huvudstad i Venezuela?,Caracas,Bagdad,Madrid,Paris,
geografi,Vad heter staden i Colombia känd för sin gamla muromgärdade stad?,Cartagena,Bogotá,Medellín,Cali,
geografi,Vilken fransk region är känd för sina slott längs Loiredalen?,Centre-Val de Loire,Burgundy,Champagne,Normandie,
geografi,Vad heter flygplatsen i Singapore känd för sin trädgård?,Changi,KLIA,Suvarnabhumi,Incheon,
geografi,I vilken europeisk stad kan du besöka det berömda Musée Condé?,Chantilly,Paris,Versailles,Fontainebleau,
geografi,Vilken flygplats har kod CDG?,Charles de Gaulle,Orly,Heathrow,Schiphol,
geografi,Vad heter staden i Marocko känd för sin blå medina?,Chefchaouen,Marrakech,Fes,Agadir,
geografi,Vad heter flygplatsen i Hongkong?,Chek Lap Kok,Macau,Shenzhen,Pearl River,
geografi,I vilken stad ligger flygplatsen O’Hare?,Chicago,New York,Los Angeles,Miami,
geografi,Vad heter den kända ruinstaden i Mexiko nära Yucatán?,Chichén Itzá,Palenque,Teotihuacán,Tulum,
geografi,I vilket land ligger Atacamaöknen?,Chile,Nordmakedonien,Litauen,Serbien,
geografi,Vad heter öknen där Salar de Atacama ligger?,Chile,Mexiko,Peru,Bolivia,
geografi,Detta land är det enda som gränsar till både Atlanten och Stilla havet i Sydamerika,Chile,Colombia,Panama,Ecuador,
geografi,Vart finns världens högsta aktiva vulkan?,Chile,Ecuador,Peru,Argentina,
geografi,Detta land har världens längsta sammanhängande kustlinje,Chile,Norge,Kanada,Australien,
geografi,Vad heter kustbyarna i Italien som är världsarv?,Cinque Terre,Amalfi,Portofino,Riomaggiore,
geografi,I vilket land ligger staden Medellín?,Colombia,Peru,Chile,Venezuela,
geografi,Grand Canyon genomkorsas av denna flod,Colorado River,Mississippi,Columbia River,Rio Grande,
geografi,Vem var upptäcktsresande som seglade till Indien för Spanien?,Columbus,Magellan,Vespucci,Cortés,
geografi,Vad heter byggnaden i Madrid där spanska parlamentet sitter?,Congreso de los Diputados,Palacio Real,Alcazar,Monasterio El Escorial,
geografi,Vad heter berget där Kristusstatyn i Rio står?,Corcovado,Sockertoppen,Pico da Neblina,Montevideo,
geografi,Detta land har flest nationalparker per capita,Costa Rica,Nya Zeeland,Kenya,Kanada,
geografi,Vilken moldavisk stad är känd för sina vinodlingar?,Cricova,Chișinău,Bălți,Comrat,
geografi,Vad heter kända andinska huvudstaden som ligger 3400m höjd?,Cusco,La Paz,Quito,Bogotá,
geografi,Var ligger Europas äldsta bevarade moské?,Córdoba,Granada,Istanbul,Sofia,
geografi,Vilken stad är huvudstad i Senegal?,Dakar,Tirana,Kingston,Brasília,
geografi,I vilket landskap finns Sälenfjällen?,Dalarna,Jämtland,Västerbotten,Västernorrland,
geografi,I vilket landskap ligger Idre Fjäll?,Dalarna,Gästrikland,Jämtland,Hälsingland,
geografi,Var finns det berömda Islossningsloppet Vasaloppet?,Dalarna,Jämtland,Norrbotten,Västmanland,
geografi,Var ligger sjön Siljan?,Dalarna,Jämtland,Västmanland,Småland,
geografi,Vilken stad är huvudstad i Syrien?,Damaskus,Montevideo,Ulaanbaatar,Valletta,
geografi,Detta land har flest vindkraftverk per capita,Danmark,Nederländerna,Sverige,Oman,
geografi,Vad heter båtresan mellan Colombia och Panama som passerar San Blas?,Darien Gap-seglingen,Caribbean Cruise,Panama Shuttle,Cartagena Ferry,
geografi,Vad kallas området där floder delar sig innan de når havet?,Delta,Mynning,Estuar,Fjärd,
geografi,Vad heter statyn i Köpenhamn baserad på H.C Andersens saga?,Den lille havfrue,Gefionfontänen,Absalons ryttarstaty,Tivolihästen,
geografi,Vad heter kontinentens högsta berg i Nordamerika?,Denali,Mount Logan,Mount Whitney,Mount Rainier,
geografi,Vilken stad är huvudstad i Bangladesh?,Dhaka,Jakarta,Wien,Köpenhamn,
geografi,Hur kallas resetrenden där man kombinerar arbete på distans och resande?,Digital nomad,Nomadland,Worksurfing,Remote adventurer,
geografi,"Vilken grekisk ö-grupp ligger närmast Turkiet?",Dodekanerna,Kykladerna,Joniska öarna,Sporader,
geografi,Vad heter huvudstaden i Tanzania?,Dodoma,Kathmandu,Bogotá,Aten,
geografi,Huvudstad i Qatar?,Doha,Stockholm,Hanoi,Riga,
geografi,Denna flod mynnar i både Svarta havet och Azovska havet,Don,Dnepr,Kuban,Rioni,
geografi,Floden genom Wien?,Donau,Moskva,Elbe,Moldau,
geografi,Floden genom Budapest?,Donau,Seine,Tibern,Themsen,
geografi,Denna flod rinner genom flest länder i Europa,Donau,Rhinen,Elbe,Oder,
geografi,Denna flod rinner genom flest huvudstäder,Donau,Rhinen,Nilen,Niger,
geografi,Denna flod kallas Centraleuropas viktigaste vattenväg,Donau,Rhinen,Elbe,Weser,
geografi,Var finns Europas mest trafikerade färjehamn?,Dover,Calais,Rostock,Helsingborg,
geografi,Vad heter Engelska kanalens smalaste punkt?,Dover-Calais,Southampton-Cherbourg,Plymouth-Caen,Brighton-Le Havre,
geografi,Denna europeiska stad har världens äldsta spårväg i drift,Dresden,Prag,Wien,Budapest,
geografi,Denne stad har flest spårvägslinjer i Europa,Dresden,Wien,Berlin,München,
geografi,I vilken stad ligger det berömda Zwinger-palatset?,Dresden,Berlin,Leipzig,Weimar,
geografi,Vad heter den största shoppinggatan i Stockholm?,Drottninggatan,Hamngatan,Östermalmstorg,Karlavägen,
geografi,Vart ligger världens största isfri område i Antarktis?,Drygdalar,McMurdo,Ross ö,Victorialand,
geografi,Var ligger världens högsta byggnad Burj Khalifa?,Dubai,Doha,Abu Dhabi,Riyadh,
geografi,"Vad heter flygplatsen i Dubai?",Dubai International,Sharjah,D AIR,Dubai Roayle,
geografi,"I Irland, vilken stad är huvudstad?",Dublin,Ottawa,Seoul,Lissabon,
geografi,Var ligger Guinness Storehouse?,Dublin,Lisboa,Liverpool,Edinburgh,
geografi,Ryanairs största hub finns på denna flygplats,Dublin,Stansted,Bergamo,Charleroi,
geografi,"Vilken kroatisk stad kallas ""Adriatiska havets pärla""?",Dubrovnik,Split,Zagreb,Rijeka,
geografi,Vilken montenegrinsk region är känd för sina nationalparker?,Durmitor,Lovćen,Biogradska gora,Prokletije,
geografi,Vilken albansk stad ligger vid Adriatiska havet?,Durrës,Tirana,Shkodër,Vlorë,
geografi,Vad heter sjön mellan Jordanien och Israel med extrem salthalt?,Döda havet,Genesarets sjö,Aralsjön,Laguna Colorada,
geografi,Detta hav har högst salthalt,Döda havet,Röda havet,Medelhavet,Persiska viken,
geografi,Vilken flod är längst i Spanien?,Ebro,Guadalquivir,Tagus,Douro,
geografi,Vilken armenisk stad är känd för sitt kloster?,Echmiadzin,Jerevan,Gyumri,Vanadzor,
geografi,Vilken ögrupp tillhör Galápagosöarna?,Ecuador,Chile,Panama,Colombia,
geografi,Vad heter det medeltida slottet i Edinburgh?,Edinburgh Castle,Stirling Castle,Balmoral Castle,Windsor Castle,
geografi,Grekland i öster gränsar mot vilket hav?,Egeiska havet,Joniska havet,Svarta havet,Adriatiska havet,
geografi,I vilket land ligger Alexandria?,Egypten,Grekland,Slovenien,Saudiarabien,
geografi,I vilket land hittar du Giza?,Egypten,Indonesien,Polen,Uruguay,
geografi,Var ligger kända tempeldalen med Tutankhamons grav?,Egypten,Jordanien,Irak,Syrien,
geografi,Var ligger Suezkanalen?,Egypten,Saudiarabien,Sudan,Israel,
geografi,Vilken flod rinner genom Hamburg?,Elbe,Amstel,Wisła,Tejo,
geografi,Vilket berg är högst i Europa?,Elbrus,Mont Blanc,Matterhorn,Dom,
geografi,Vad heter Europas högsta berg?,Elbrus,Mont Blanc,Matterhorn,Pyreneéerna,
geografi,Vad heter Chile och Argentinas sydligaste spets?,Eldlandet,Tierra Blanca,Magellanhalvön,Falklandsöarna,
geografi,Vad kallas området runt Stilla havet med många vulkaner?,Eldringen,Atlantslingan,Jordbävningsbältet,Oceanringen,
geografi,Vilken brittisk region är känd för Stonehenge?,England,Wales,Skottland,Nordirland,
geografi,Var ligger slottet Windsor?,England,Wales,Skottland,Irland,
geografi,Vad heter svenska varvet som byggde Ostindiefararen Götheborg?,Eriksbergsvarvet,Lindholmen,Arendalsvarvet,Götaverken,
geografi,Vad heter den process som flyttar jord genom vind?,Erosion,Sedimentation,Vittring,Transportation,
geografi,Var ligger medeltida staden Tallinn?,Estland,Lettland,Litauen,Finland,
geografi,Detta land är det enda i Afrika som aldrig varit koloniserat,Etiopien,Liberia,Egypten,Marocko,
geografi,Vad heter vulkanen på Sicilien?,Etna,Vesuvius,Stromboli,Hekla,
